Frame,Time (s),Label,Confidence,"Bounding Box (x1,y1,x2,y2)"
36,0.6,With Helmet,0.43,"(342,105,387,171)"
36,0.6,No Helmet,0.32,"(500,158,532,205)"
37,0.62,With Helmet,0.61,"(150,97,179,143)"
37,0.62,No Helmet,0.53,"(489,94,530,159)"
37,0.62,With Helmet,0.45,"(341,106,387,172)"
37,0.62,No Helmet,0.32,"(744,142,800,212)"
38,0.63,With Helmet,0.55,"(152,97,181,144)"
38,0.63,No Helmet,0.53,"(491,103,531,159)"
38,0.63,With Helmet,0.52,"(338,106,386,175)"
38,0.63,No Helmet,0.49,"(744,143,798,213)"
39,0.65,No Helmet,0.58,"(496,109,533,157)"
39,0.65,With Helmet,0.56,"(336,106,386,174)"
39,0.65,With Helmet,0.49,"(153,96,183,146)"
39,0.65,No Helmet,0.48,"(743,146,800,214)"
40,0.67,No Helmet,0.61,"(497,108,535,154)"
40,0.67,With Helmet,0.57,"(335,106,384,175)"
40,0.67,With Helmet,0.36,"(154,98,181,146)"
40,0.67,No Helmet,0.30,"(742,146,802,217)"
41,0.68,With Helmet,0.63,"(333,106,384,174)"
41,0.68,No Helmet,0.46,"(501,107,538,153)"
41,0.68,With Helmet,0.35,"(155,98,181,144)"
41,0.68,No Helmet,0.34,"(742,147,794,218)"
42,0.7,With Helmet,0.65,"(332,107,384,174)"
42,0.7,With Helmet,0.35,"(156,97,181,141)"
42,0.7,With Helmet,0.34,"(502,106,541,155)"
42,0.7,No Helmet,0.34,"(741,148,794,219)"
43,0.72,With Helmet,0.65,"(332,107,382,175)"
43,0.72,With Helmet,0.56,"(158,96,189,145)"
43,0.72,No Helmet,0.41,"(740,151,793,222)"
43,0.72,No Helmet,0.29,"(503,104,543,160)"
44,0.73,With Helmet,0.64,"(331,108,379,177)"
44,0.73,No Helmet,0.60,"(737,151,793,223)"
44,0.73,With Helmet,0.56,"(159,97,192,146)"
44,0.73,No Helmet,0.49,"(505,103,545,160)"
45,0.75,With Helmet,0.64,"(329,108,377,178)"
45,0.75,With Helmet,0.61,"(160,98,193,144)"
45,0.75,No Helmet,0.60,"(736,153,789,224)"
45,0.75,No Helmet,0.57,"(507,106,547,163)"
46,0.77,With Helmet,0.64,"(329,108,375,177)"
46,0.77,No Helmet,0.60,"(735,153,789,225)"
46,0.77,No Helmet,0.42,"(509,105,549,162)"
46,0.77,With Helmet,0.37,"(162,98,194,144)"
46,0.77,With Helmet,0.34,"(441,153,499,220)"
47,0.78,With Helmet,0.60,"(328,108,373,177)"
47,0.78,No Helmet,0.53,"(732,153,787,226)"
47,0.78,No Helmet,0.44,"(510,106,553,161)"
47,0.78,No Helmet,0.31,"(165,97,195,145)"
48,0.8,With Helmet,0.59,"(324,108,372,178)"
48,0.8,No Helmet,0.51,"(731,154,784,228)"
48,0.8,No Helmet,0.39,"(512,100,553,159)"
49,0.82,No Helmet,0.60,"(515,99,555,156)"
49,0.82,With Helmet,0.58,"(323,107,371,177)"
49,0.82,No Helmet,0.34,"(728,153,784,229)"
50,0.83,No Helmet,0.64,"(516,100,558,157)"
50,0.83,With Helmet,0.55,"(321,106,369,177)"
50,0.83,No Helmet,0.26,"(726,153,779,229)"
51,0.85,No Helmet,0.62,"(518,102,559,155)"
51,0.85,With Helmet,0.55,"(319,106,367,177)"
51,0.85,No Helmet,0.39,"(724,154,777,229)"
51,0.85,With Helmet,0.26,"(169,95,202,141)"
52,0.87,No Helmet,0.70,"(520,100,561,155)"
52,0.87,With Helmet,0.57,"(316,106,366,178)"
52,0.87,No Helmet,0.54,"(722,153,775,229)"
52,0.87,With Helmet,0.32,"(171,95,202,141)"
53,0.88,No Helmet,0.63,"(522,98,563,155)"
53,0.88,With Helmet,0.58,"(313,106,365,177)"
53,0.88,No Helmet,0.51,"(720,154,771,230)"
53,0.88,With Helmet,0.47,"(173,95,202,140)"
53,0.88,With Helmet,0.28,"(430,152,493,222)"
54,0.9,With Helmet,0.63,"(311,106,364,176)"
54,0.9,No Helmet,0.59,"(524,100,563,156)"
54,0.9,No Helmet,0.50,"(718,153,771,231)"
54,0.9,With Helmet,0.39,"(177,95,205,140)"
55,0.92,With Helmet,0.66,"(309,106,362,175)"
55,0.92,No Helmet,0.63,"(525,98,564,156)"
55,0.92,No Helmet,0.58,"(716,157,772,230)"
55,0.92,With Helmet,0.41,"(177,94,205,140)"
56,0.93,With Helmet,0.63,"(309,106,360,175)"
56,0.93,No Helmet,0.56,"(714,157,767,231)"
56,0.93,No Helmet,0.48,"(528,97,565,152)"
56,0.93,With Helmet,0.41,"(178,93,210,141)"
57,0.95,With Helmet,0.61,"(307,106,356,176)"
57,0.95,No Helmet,0.56,"(530,97,567,150)"
57,0.95,No Helmet,0.53,"(712,161,766,233)"
57,0.95,With Helmet,0.27,"(428,154,488,222)"
58,0.97,With Helmet,0.64,"(306,107,352,177)"
58,0.97,No Helmet,0.56,"(709,156,766,233)"
58,0.97,No Helmet,0.53,"(532,97,569,155)"
58,0.97,With Helmet,0.52,"(179,90,212,139)"
58,0.97,With Helmet,0.26,"(424,154,487,223)"
59,0.98,With Helmet,0.64,"(303,107,350,177)"
59,0.98,With Helmet,0.62,"(181,89,214,138)"
59,0.98,No Helmet,0.51,"(533,97,572,157)"
59,0.98,No Helmet,0.47,"(705,156,763,235)"
59,0.98,With Helmet,0.30,"(421,153,487,226)"
60,1.0,With Helmet,0.66,"(181,88,215,137)"
60,1.0,With Helmet,0.62,"(301,106,348,175)"
60,1.0,No Helmet,0.57,"(534,98,574,158)"
60,1.0,No Helmet,0.46,"(703,153,762,235)"
60,1.0,With Helmet,0.27,"(420,153,486,227)"
61,1.02,With Helmet,0.67,"(185,87,216,135)"
61,1.02,With Helmet,0.64,"(299,105,346,176)"
61,1.02,No Helmet,0.60,"(534,96,575,159)"
61,1.02,No Helmet,0.45,"(702,153,764,236)"
61,1.02,With Helmet,0.25,"(419,152,486,227)"
62,1.03,With Helmet,0.63,"(188,87,217,134)"
62,1.03,With Helmet,0.59,"(298,104,344,175)"
62,1.03,No Helmet,0.48,"(537,95,578,158)"
62,1.03,With Helmet,0.39,"(699,152,763,241)"
62,1.03,With Helmet,0.27,"(417,153,483,229)"
63,1.05,With Helmet,0.62,"(188,86,219,134)"
63,1.05,With Helmet,0.60,"(295,102,344,176)"
63,1.05,No Helmet,0.52,"(540,96,580,156)"
63,1.05,No Helmet,0.39,"(696,157,760,240)"
63,1.05,With Helmet,0.32,"(417,152,482,226)"
64,1.07,No Helmet,0.67,"(541,96,583,155)"
64,1.07,With Helmet,0.62,"(293,100,343,175)"
64,1.07,No Helmet,0.59,"(694,158,752,240)"
64,1.07,With Helmet,0.56,"(190,84,220,129)"
64,1.07,With Helmet,0.47,"(417,151,482,224)"
65,1.08,With Helmet,0.66,"(292,98,341,171)"
65,1.08,With Helmet,0.58,"(417,147,482,221)"
65,1.08,No Helmet,0.54,"(544,94,587,152)"
65,1.08,No Helmet,0.52,"(691,158,748,238)"
65,1.08,With Helmet,0.47,"(191,78,224,127)"
66,1.1,No Helmet,0.76,"(548,87,588,145)"
66,1.1,With Helmet,0.68,"(291,97,341,168)"
66,1.1,With Helmet,0.66,"(195,74,225,123)"
66,1.1,No Helmet,0.48,"(691,158,746,238)"
66,1.1,With Helmet,0.37,"(418,146,480,216)"
67,1.12,With Helmet,0.67,"(290,96,340,165)"
67,1.12,No Helmet,0.57,"(553,85,591,143)"
67,1.12,With Helmet,0.55,"(198,75,227,121)"
67,1.12,No Helmet,0.50,"(689,158,744,236)"
67,1.12,With Helmet,0.38,"(417,144,482,215)"
68,1.13,With Helmet,0.61,"(289,95,338,164)"
68,1.13,No Helmet,0.55,"(685,157,743,240)"
68,1.13,No Helmet,0.53,"(553,83,593,143)"
68,1.13,With Helmet,0.40,"(200,72,229,119)"
68,1.13,With Helmet,0.31,"(418,142,480,213)"
69,1.15,With Helmet,0.62,"(288,93,336,163)"
